Burnaby 3342.03 3675.64 663.13 3528.14 810.3 3330.34 1853.9 12.78 3318.47 3331.83 3779.63 9.86 3658.97 4418.46 3247.0 3341.2 3329.91 3524.69 1187.83 3677.78 3278.04 0.0 3152.92 1317.58 16.47 3335.59 3332.89 3289.43 52.24 12.08 259.15 3363.55 27.46 90.17 3661.44 3318.17 1654.07 3839.89 1031.86 1635.51 1021.03 1809.22 2785.7 2511.64 2348.35 1291.58 2448.85 1817.83 591.76 3997.32 548.11 2316.8
Windsor 330.82 835.88 2537.95 681.36 2564.43 309.29 1374.38 3165.18 305.62 277.18 1056.89 3145.8 827.89 1585.53 164.06 344.98 331.99 683.83 2080.47 840.74 240.75 3152.92 0.0 1879.55 3166.22 299.95 285.76 355.03 3106.09 3141.25 2904.37 367.0 3131.47 3187.34 839.41 288.23 1547.7 1082.39 2225.92 1527.1 2140.28 1433.72 1430.86 1401.37 813.05 2208.96 808.99 1472.8 2571.31 1434.55 2852.73 895.59
Regina 2038.31 2358.06 667.71 2211.13 697.05 2028.05 536.66 1328.88 2015.9 2033.1 2465.2 1311.99 2341.39 3105.16 1956.16 2036.15 2025.47 2207.6 234.97 2360.2 1979.93 1317.58 1879.55 0.0 1332.57 2034.58 2033.25 1981.66 1276.65 1305.52 1059.29 2057.69 1300.13 1369.2 2343.88 2017.32 339.31 2524.79 352.95 515.6 463.13 802.01 1563.08 1280.42 1066.69 1022.88 1135.38 509.79 795.21 2698.84 973.88 1144.71
Richmond 3356.13 3690.61 678.94 3542.95 826.75 3344.39 1868.81 13.36 3332.53 3345.76 3794.98 20.63 3673.95 4433.88 3260.72 3355.35 3344.04 3539.51 1203.7 3692.76 3291.96 16.47 3166.22 1332.57 0.0 3349.59 3346.85 3303.69 61.65 28.07 274.65 3377.73 35.56 76.72 3676.45 3332.17 1668.85 3855.2 1047.83 1648.04 1033.26 1820.18 2802.0 2527.86 2362.07 1297.03 2463.44 1833.22 603.34 4013.12 563.9 2328.83
Oakville 34.81 536.23 2701.37 385.08 2699.37 16.85 1507.12 3347.54 26.37 27.03 759.15 3329.01 528.63 1291.47 136.04 52.64 44.67 388.13 2218.01 541.12 65.44 3335.59 299.95 2034.58 3349.59 0.0 16.49 104.53 3290.67 3323.71 3081.96 69.27 3315.51 3376.19 540.38 17.46 1695.93 782.92 2369.78 1735.96 2338.5 1677.54 1319.31 1349.58 991.1 2461.38 908.48 1584.7 2764.93 1138.74 2997.65 1150.85
Burlington 51.3 551.02 2699.78 400.81 2699.54 32.37 1506.76 3344.86 39.05 10.55 774.51 3326.27 543.62 1303.69 122.35 69.11 60.62 403.94 2217.84 555.93 56.86 3332.89 285.76 2033.25 3346.85 16.49 0.0 118.2 3287.84 3321.02 3079.55 85.38 3312.71 3373.08 555.46 21.03 1694.81 797.76 2369.29 1730.97 2334.5 1669.97 1331.19 1358.8 987.28 2453.35 909.01 1585.62 2761.37 1154.33 2997.29 1142.05
Barrie 79.7 497.84 2649.32 335.16 2637.87 87.9 1449.76 3301.24 79.15 127.58 709.51 3283.07 487.45 1275.49 199.78 66.57 64.09 336.6 2158.64 502.36 124.51 3289.43 355.03 1981.66 3303.69 104.53 118.2 0.0 3245.34 3277.5 3034.3 80.41 3269.92 3332.4 497.74 99.03 1642.38 740.59 2311.97 1705.39 2300.81 1664.46 1215.79 1251.76 955.71 2450.39 848.41 1520.44 2724.2 1083.17 2938.71 1148.46
Abbotsford 3297.41 3634.4 627.87 3486.19 789.28 3285.56 1812.46 64.87 3273.73 3286.69 3740.34 42.95 3617.77 4379.56 3201.24 3296.74 3285.38 3482.79 1152.66 3636.59 3232.86 52.24 3106.09 1276.65 61.65 3290.67 3287.84 3245.34 0.0 43.86 223.04 3319.18 26.09 100.71 3620.37 3273.24 1612.1 3800.38 997.64 1587.08 972.09 1758.53 2755.35 2480.18 2302.64 1239.97 2406.02 1778.96 541.86 3961.12 540.54 2267.5
Coquitlam 3330.13 3663.58 651.09 3516.1 799.24 3318.45 1841.85 23.94 3306.58 3319.97 3767.55 10.91 3646.91 4406.38 3235.21 3329.29 3318.01 3512.65 1175.81 3665.72 3266.18 12.08 3141.25 1305.52 28.07 3323.71 3321.02 3277.5 43.86 0.0 247.07 3351.64 22.45 97.86 3649.38 3306.29 1642.04 3827.82 1019.87 1624.11 1009.77 1798.49 2773.93 2499.8 2336.55 1283.81 2436.84 1805.75 580.8 3985.28 538.63 2305.6
Kelowna 3087.83 3417.26 404.98 3270.3 579.74 3076.44 1595.85 270.05 3064.51 3078.68 3520.52 254.29 3400.57 4159.31 2995.36 3086.71 3075.55 3266.8 929.85 3419.38 3024.98 259.15 2904.37 1059.29 274.65 3081.96 3079.55 3034.3 223.04 247.07 0.0 3108.89 244.15 322.15 3402.96 3064.57 1396.55 3580.81 774.62 1395.19 786.61 1585.25 2532.88 2257.37 2096.93 1144.72 2192.05 1558.69 374.74 3738.82 375.11 2080.29
